"revenue_growth","","","0.27","0.57","1.27","0.42","-0.08","0.38","0.38","0.18","0.32","0.59","0.45","0.43","0.74","1.4","1.08","1.02",""
"gross_profit_growth","","","0.27","-0.54","2.71","-0.61","1.11","0.76","0.37","0.26","0.38","0.59","0.36","0.49","0.95","1.1","1.11","1.34",""
"ebitda_growth","","-60.38","-4.07","-0.96","-0.51","-1.53","0.87","0.45","-0.08","-0.2","-0.58","-1.85","-0.31","0.95","18.01","-1.3","-54.16","2.73",""
"operating_income_growth","","-60.63","-4.09","-0.96","-0.52","-1.52","0.86","0.45","-0.08","-0.19","-0.5600000000000001","-1.84","-0.32","0.86","6.41","-1.52","-37.58","2.69",""
"pretax_income_growth","","","","","","-1.51","0.86","0.37","-0.14","-0.06","-0.43","-1.69","-0.36","1.89","-0.13","-1.47","-36.61","2.91",""
"net_income_growth","","-180.75","-1.56","-0.41","-0.47","-1.51","0.86","0.37","-0.14","-0.06","-0.43","-1.69","-0.36","1.89","-0.15","-0.54","-48.57","2.21",""
"eps_diluted_growth","","-6.82","-1.01","-0.02","-0.25","-0.09","0.87","0.36","-0.1","0.18","-0.11","-1.1","-0.22","1.69","-0.3","-0.46","-45","1.88",""
"shares_diluted_growth","","22.11","0.38","0.28","0.19","1.3","0.15","","0.01","0.63","0.16","0.15","0.13","0.28","0.16","0.04","-0.03","0.04",""
"cash_and_equiv_growth","","8.5","1.71","3.05","-0.42","1.18","-0.92","1.04","0.57","28.02","0.16","0.21","-0.45","1.98","0.87","-0.62","36.78","0.23",""
"ppe_growth","","","","1.82","-0.02","-0.43","0.03","-0.34","-0.36","-0.52","0.62","0.85","0.9399999999999999","6.72","0.68","1.78","1.59","1.38",""
"total_assets_growth","","8.800000000000001","24.85","-0.13","1.48","-0.21","-0.52","0.48","0.63","2.08","0.16","0.53","0.28","1.61","0.45","1.39","2.89","0.26",""
"total_equity_growth","","8.699999999999999","-17.55","1.01","-287.55","0.2","-1.56","0.08","-0.21","2.22","0.25","0.57","-0.31","4.38","0.64","1.08","2.98","0.26",""
"cfo_growth","","-146.38","-1.16","-0.9","-0.99","-0.48","0.8","0.23","-0.36","0.74","-2.13","-2.56","-0.38","1.09","2.28","-29.45","2.12","0.31",""
"capex_growth","","","-0.63","-0.72","0.67","0.54","-2.43","0.92","-1","0.17","-1.3","-1.17","-1.2","0.29","-6.36","-4.49","-1.62","-1.11",""
"fcf_growth","","-153.13","-1.14","-0.89","-0.9399999999999999","-0.47","0.8","0.25","-0.36","0.74","-2.12","-2.55","-0.39","1.08","1.95","-36.35","2","0.24",""
"shares_eop","0.472","10.908","15.103","22.2","36","55.5","60.547","60.537","61.178","115.141","119.999","137.105","171.008","206.824","216.788","224.727","229.146","231.787","233.08"
"dividends","","","","","","","","","","","","","","","","","","",""
"price_to_earnings","","","-4.19","-1.18","-7.83","-0.4","-1.44","-3.85","-5.04","-34.65","-31.96","-29.11","-17.65","33.4","426.51","1418.86","-42.43","55.72","73.38"
"price_to_book","","","-9.720000000000001","565.09","-19.27","-3.09","-0.63","-1.16","-1.43","8.52","9","13.99","16.76","5.25","34.85","25.74","198.22","47.86","57.15"
"price_to_sales","","","9.48","2.4","10.35","0.93","0.53","0.64","0.7","4.33","4.31","6.63","3.76","4.43","27.81","17.77","12.16","9.59","13.67"
"price_to_tangible_book","","","-9.720000000000001","565.09","-19.27","-3.09","-0.63","-1.16","-1.43","8.52","9","13.99","16.76","9.18","47.02","30","561.29","53.16","61.83"
"price_to_fcf","","","-5.91","-1.25","-6.27","-0.55","-1.4","-3.17","-3.49","-97.38","-41.09","-28.33","-16.83","348.31","1288.74","-56.01","79.53","102.09","71.58"
"market_cap","","","15.601399","6.216","60.732","7.77","4.056649","6.840681","10.216726","74.496227","98.03918299999999","239.93375","197.856256","332.98664","3635.53476","5586.039039","7946.78328","12637.02724","19326.1644"
"period_end_price","","","1.03","0.28","1.69","0.14","0.07000000000000001","0.11","0.17","0.65","0.82","1.75","1.16","1.61","16.77","24.86","34.68","54.52","54.52"
